parental_rnai,parental_treatment,treatment,plate,worm,set_up_date,death_date
Raga,PLight,Light,6,1,09-Mar,11-Mar
Raga,PLight,Light,6,3,09-Mar,NA
Raga,PLight,Light,6,4,09-Mar,NA
Raga,PLight,Light,6,5,09-Mar,NA
Raga,PLight,Light,6,6,09-Mar,NA
Raga,PLight,Light,6,7,09-Mar,NA
Raga,PLight,Light,6,8,09-Mar,NA
Raga,PLight,Light,6,9,09-Mar,NA
Raga,PLight,Light,6,10,09-Mar,NA
Raga,PLight,Dark,6,1,17-Apr,21-Apr
Raga,PLight,Dark,6,6,17-Apr,NA
Raga,PLight,Dark,6,7,17-Apr,NA
Raga,PLight,Dark,6,8,17-Apr,NA
Raga,PLight,Dark,6,9,17-Apr,NA
Raga,PLight,Dark,6,10,17-Apr,NA
raga,plight,dark,6,1,09-Mar,22-Mar
raga,plight,dark,6,2,09-Mar,24-Mar
raga,plight,dark,6,3,09-Mar,24-Mar
raga,plight,dark,6,4,09-Mar,24-Mar
raga,plight,dark,6,5,09-Mar,24-Mar
raga,plight,dark,6,6,09-Mar,25-Mar
raga,plight,dark,6,7,09-Mar,25-Mar
raga,plight,dark,6,8,09-Mar,26-Mar
raga,plight,dark,6,9,09-Mar,27-Mar
raga,plight,dark,6,10,09-Mar,28-Mar
raga,plight,dark,6,11,09-Mar,31-Mar
raga,plight,light,6,2,09-Mar,15-Mar
ev,pdark,dark,6,1,17-Apr,02-May
ev,pdark,dark,6,2,17-Apr,04-May
ev,pdark,dark,6,3,17-Apr,07-May
ev,pdark,dark,6,4,17-Apr,10-May
ev,pdark,dark,6,5,17-Apr,11-May
ev,plight,dark,6,1,17-Apr,05-May
ev,plight,dark,6,2,17-Apr,11-May
ev,plight,light,6,1,17-Apr,23-Apr
ev,plight,light,6,2,17-Apr,23-Apr
ev,plight,light,6,3,17-Apr,23-Apr
ev,plight,light,6,4,17-Apr,25-Apr
raga,plight,dark,6,2,17-Apr,03-May
raga,plight,dark,6,3,17-Apr,06-May
raga,plight,dark,6,4,17-Apr,06-May
raga,plight,dark,6,5,17-Apr,08-May
Raga,PLight,Light,6,1,17-Apr,21-Apr
Raga,PLight,Light,6,2,17-Apr,21-Apr
Raga,PLight,Light,6,3,17-Apr,21-Apr
Raga,PLight,Light,6,4,17-Apr,22-Apr
Raga,PLight,Light,6,5,17-Apr,NA
Raga,PLight,Light,6,6,17-Apr,NA
Raga,PLight,Light,6,7,17-Apr,NA
Raga,PLight,Light,6,8,17-Apr,NA
Raga,PLight,Light,6,9,17-Apr,NA
Raga,PLight,Light,6,10,17-Apr,NA
EV,PDark,Dark,5,1,07-Mar,15-Mar
Raga,PDark,Dark,5,1,07-Mar,17-Mar
Raga,PDark,Dark,5,3,07-Mar,18-Mar
Raga,PDark,Dark,5,4,07-Mar,18-Mar
Raga,PDark,Dark,5,5,07-Mar,18-Mar
