rnai,treatment,replicate,day,offspring
ev,dark,92,1,36
ev,dark,92,3,74
ev,dark,92,2,212
raga,dark,91,1,40
raga,dark,91,3,53
raga,dark,91,2,172
raga,dark,89,3,34
raga,dark,89,1,46
raga,dark,89,2,185
ev,dark,86,1,35
ev,dark,86,3,53
ev,dark,86,2,195
ev,dark,85,1,44
ev,dark,85,2,152
ev,dark,81,3,23
ev,dark,81,1,42
ev,dark,81,2,201
ev,dark,78,3,32
ev,dark,78,1,46
ev,dark,78,2,192
raga,dark,75,3,20
raga,dark,75,1,70
raga,dark,75,2,190
raga,dark,72,1,35
raga,dark,72,3,74
raga,dark,72,2,174
raga,dark,70,3,37
raga,dark,70,1,40
raga,dark,70,2,163
raga,dark,67,3,15
raga,dark,67,1,51
raga,dark,67,2,177
ev,dark,66,1,39
ev,dark,66,3,50
ev,dark,66,2,183
ev,dark,62,1,33
ev,dark,62,3,42
ev,dark,62,2,172
raga,dark,59,1,30
raga,dark,59,3,66
raga,dark,59,2,178
raga,dark,58,1,35
raga,dark,58,3,55
raga,dark,58,2,191
ev,dark,57,1,14
ev,dark,57,3,76
ev,dark,57,2,166
ev,dark,54,3,12
ev,dark,54,1,59
ev,dark,54,2,209
raga,dark,49,3,38
raga,dark,49,1,50
raga,dark,49,2,196
ev,dark,48,3,28
ev,dark,48,1,40
ev,dark,48,2,160
raga,dark,47,1,33
raga,dark,47,3,48
raga,dark,47,2,170
ev,dark,46,1,26
ev,dark,46,3,39
ev,dark,46,2,164
ev,dark,45,3,12
ev,dark,45,1,53
ev,dark,45,2,186
ev,dark,44,3,38
ev,dark,44,1,44
ev,dark,44,2,192
raga,dark,37,1,40
raga,dark,37,3,69
raga,dark,37,2,190
raga,dark,36,1,39
raga,dark,36,3,54
raga,dark,36,2,186
ev,dark,35,1,35
ev,dark,35,3,56
ev,dark,35,2,179
ev,dark,34,1,52
ev,dark,34,3,64
ev,dark,34,2,182
ev,dark,33,1,51
ev,dark,33,3,55
ev,dark,33,2,188
raga,dark,32,1,34
raga,dark,32,3,94
raga,dark,32,2,160
raga,dark,26,3,11
raga,dark,26,1,54
raga,dark,26,2,151
raga,dark,24,3,42
raga,dark,24,1,46
