parental_rnai,parental_treatment,treatment,replicate,day,offsprings
ev,plight,light,15,1,NA
ev,plight,light,15,2,NA
ev,plight,light,15,3,NA
ev,plight,light,15,4,NA
ev,plight,light,15,5,NA
ev,plight,light,15,6,NA
ev,pdark,dark,15,6,NA
ev,pdark,light,15,6,NA
raga,pdark,dark,15,6,NA
raga,pdark,light,15,6,NA
ev,plight,dark,15,6,NA
ev,plight,light,15,6,NA
raga,plight,dark,15,6,NA
raga,plight,light,15,6,NA
ev,plight,dark,15,2,164
raga,pdark,dark,15,2,154
ev,pdark,dark,15,2,141
ev,pdark,light,15,2,138
ev,pdark,dark,15,2,136
raga,plight,dark,15,2,127
raga,pdark,dark,15,3,127
raga,plight,light,15,2,124
ev,plight,dark,15,2,111
ev,plight,light,15,3,111
ev,pdark,light,15,2,106
raga,pdark,dark,15,3,106
raga,plight,dark,15,3,102
ev,plight,dark,15,3,100
raga,plight,dark,15,2,100
raga,pdark,light,15,3,100
raga,plight,dark,15,3,94
ev,pdark,light,15,3,93
raga,pdark,light,15,2,90
ev,pdark,dark,15,3,88
raga,pdark,light,15,3,88
ev,plight,light,15,2,86
raga,pdark,light,15,2,81
raga,plight,light,15,3,80
ev,pdark,light,15,3,69
raga,plight,light,15,3,64
raga,pdark,dark,15,2,64
ev,plight,dark,15,3,60
ev,pdark,dark,15,3,50
ev,plight,dark,15,1,43
raga,plight,light,15,2,35
raga,pdark,light,15,4,23
raga,plight,light,15,1,22
raga,pdark,dark,15,1,22
raga,pdark,light,15,4,15
ev,pdark,light,15,1,13
raga,plight,light,14,1,NA
raga,plight,light,14,2,NA
raga,plight,light,14,3,NA
raga,plight,light,14,4,NA
raga,plight,light,14,5,NA
raga,plight,light,14,6,NA
raga,pdark,light,14,1,NA
raga,pdark,light,14,2,NA
raga,pdark,light,14,3,NA
raga,pdark,light,14,4,NA
raga,pdark,light,14,5,NA
raga,pdark,light,14,6,NA
ev,pdark,dark,14,6,NA
ev,pdark,light,14,6,NA
raga,pdark,dark,14,6,NA
raga,pdark,light,14,6,NA
ev,plight,dark,14,6,NA
ev,plight,light,14,6,NA
raga,plight,dark,14,6,NA
raga,plight,light,14,6,NA
ev,plight,dark,14,2,168
raga,pdark,dark,14,2,167
ev,pdark,light,14,2,140
ev,pdark,dark,14,2,129
raga,plight,light,14,2,127
ev,plight,dark,14,3,122
ev,pdark,light,14,2,122
raga,plight,dark,14,2,116
raga,plight,dark,14,4,110
ev,pdark,dark,14,3,108
ev,pdark,dark,14,2,105
ev,plight,dark,14,2,103
raga,pdark,dark,14,2,102
ev,plight,light,14,2,101
ev,plight,light,14,3,96
raga,plight,dark,14,3,93
raga,pdark,light,14,3,89
raga,plight,light,14,3,84
raga,pdark,light,14,2,81
raga,pdark,dark,14,3,81
ev,pdark,light,14,3,78
ev,plight,dark,14,3,74
raga,plight,dark,14,3,66
ev,pdark,dark,14,3,66
raga,pdark,dark,14,3,65
ev,pdark,light,14,1,44
ev,pdark,light,14,3,38
raga,pdark,dark,14,1,37
ev,plight,light,14,4,36
ev,plight,light,14,3,35
ev,plight,light,14,2,32
ev,plight,dark,14,1,31
ev,pdark,light,14,1,28
raga,plight,dark,14,2,19
raga,plight,dark,14,5,17
raga,plight,light,14,1,17
ev,pdark,dark,14,4,16
raga,pdark,light,14,4,15
ev,pdark,dark,14,5,11
ev,plight,light,13,1,NA
ev,plight,light,13,2,NA
ev,plight,light,13,3,NA
ev,plight,light,13,4,NA
ev,plight,light,13,5,NA
ev,plight,light,13,6,NA
raga,plight,dark,13,5,NA
raga,plight,dark,13,6,NA
ev,pdark,dark,13,6,NA
ev,pdark,light,13,6,NA
raga,pdark,dark,13,6,NA
raga,pdark,light,13,6,NA
ev,plight,dark,13,6,NA
ev,plight,light,13,6,NA
raga,plight,dark,13,6,NA
raga,plight,light,13,6,NA
ev,plight,dark,13,2,175
raga,pdark,dark,13,2,169
ev,pdark,dark,13,2,168
raga,plight,dark,13,2,143
ev,pdark,light,13,2,139
raga,pdark,light,13,2,129
ev,pdark,dark,13,3,128
ev,plight,dark,13,3,119
ev,pdark,dark,13,2,118
ev,pdark,light,13,2,117
raga,plight,light,13,3,111
raga,pdark,dark,13,2,109
ev,plight,dark,13,2,105
ev,pdark,light,13,3,104
raga,plight,dark,13,2,103
raga,pdark,dark,13,3,102
ev,plight,light,13,2,97
raga,pdark,dark,13,3,88
raga,plight,light,13,3,87
ev,plight,light,13,3,86
raga,pdark,light,13,3,86
raga,plight,dark,13,3,81
ev,pdark,light,13,3,81
raga,plight,light,13,2,80
ev,plight,dark,13,3,68
raga,plight,dark,13,3,63
ev,pdark,dark,13,3,57
raga,plight,light,13,2,50
ev,plight,dark,13,1,40
raga,pdark,light,13,3,36
ev,pdark,dark,13,1,34
raga,pdark,dark,13,1,32
ev,pdark,light,13,1,31
raga,plight,light,13,4,30
raga,pdark,light,13,2,29
raga,pdark,light,13,4,28
raga,plight,dark,13,1,24
raga,pdark,light,13,1,19
raga,plight,light,13,4,18
ev,pdark,light,13,4,15
raga,pdark,light,13,5,15
ev,plight,light,12,1,NA
ev,plight,light,12,2,NA
ev,plight,light,12,3,NA
ev,plight,light,12,4,NA
ev,plight,light,12,5,NA
ev,plight,light,12,6,NA
ev,pdark,dark,12,6,NA
ev,pdark,light,12,6,NA
raga,pdark,dark,12,6,NA
raga,pdark,light,12,6,NA
ev,plight,dark,12,6,NA
ev,plight,light,12,6,NA
raga,plight,dark,12,6,NA
raga,plight,light,12,6,NA
raga,plight,dark,12,2,169
raga,pdark,dark,12,2,164
ev,pdark,dark,12,2,157
ev,plight,dark,12,2,153
raga,pdark,dark,12,2,149
ev,plight,dark,12,2,148
ev,pdark,light,12,2,132
ev,pdark,dark,12,2,121
ev,plight,dark,12,3,120
raga,plight,dark,12,2,115
ev,plight,light,12,2,113
raga,pdark,light,12,2,107
raga,plight,light,12,2,102
ev,pdark,light,12,2,102
ev,plight,light,12,3,101
ev,pdark,light,12,3,101
raga,pdark,dark,12,3,96
raga,plight,light,12,3,84
raga,pdark,light,12,3,79
raga,pdark,light,12,3,65
raga,pdark,light,12,2,65
raga,pdark,dark,12,3,62
ev,pdark,light,12,3,56
ev,plight,dark,12,3,54
raga,plight,light,12,4,51
raga,plight,dark,12,3,48
raga,plight,dark,12,3,43
raga,plight,light,12,3,40
ev,pdark,dark,12,3,38
raga,plight,dark,12,1,33
ev,plight,dark,12,1,26
ev,pdark,light,12,1,23
ev,pdark,dark,12,1,21
raga,plight,dark,12,1,19
raga,plight,light,12,2,17
raga,pdark,light,12,1,16
ev,pdark,dark,12,1,14
raga,pdark,light,12,4,14
raga,pdark,dark,12,1,12
raga,plight,light,12,6,11
raga,plight,light,12,4,11
ev,plight,dark,11,1,NA
ev,plight,dark,11,2,NA
ev,plight,dark,11,3,NA
ev,plight,dark,11,4,NA
ev,plight,dark,11,5,NA
ev,plight,dark,11,6,NA
ev,plight,light,11,1,NA
ev,plight,light,11,2,NA
ev,plight,light,11,3,NA
ev,plight,light,11,4,NA
ev,plight,light,11,5,NA
ev,plight,light,11,6,NA
ev,pdark,dark,11,6,NA
ev,pdark,light,11,6,NA
raga,pdark,dark,11,6,NA
raga,pdark,light,11,6,NA
ev,plight,dark,11,6,NA
ev,plight,light,11,6,NA
raga,plight,dark,11,6,NA
raga,plight,light,11,6,NA
raga,plight,dark,11,2,168
raga,pdark,dark,11,2,143
ev,pdark,dark,11,2,143
raga,pdark,dark,11,2,134
ev,pdark,light,11,2,133
ev,pdark,light,11,2,126
raga,pdark,light,11,3,120
raga,pdark,light,11,2,119
ev,pdark,dark,11,2,109
raga,pdark,dark,11,3,107
raga,plight,dark,11,3,103
ev,plight,light,11,3,103
ev,pdark,dark,11,3,102
ev,plight,dark,11,3,101
raga,pdark,light,11,2,94
raga,plight,dark,11,2,91
ev,plight,dark,11,2,89
raga,plight,light,11,2,81
raga,plight,light,11,2,80
ev,pdark,dark,11,3,75
raga,plight,light,11,3,73
ev,pdark,light,11,3,66
ev,plight,light,11,2,64
raga,pdark,light,11,3,63
raga,plight,light,11,3,53
ev,pdark,light,11,3,48
raga,pdark,dark,11,3,35
raga,plight,dark,11,3,32
ev,pdark,light,11,1,23
ev,pdark,light,11,1,17
ev,plight,dark,11,4,14
raga,plight,dark,11,1,13
raga,pdark,dark,11,1,12
ev,plight,dark,10,1,NA
ev,plight,dark,10,2,NA
ev,plight,dark,10,3,NA
ev,plight,dark,10,4,NA
ev,plight,dark,10,5,NA
ev,plight,dark,10,6,NA
ev,plight,light,10,1,NA
ev,plight,light,10,2,NA
ev,plight,light,10,3,NA
ev,plight,light,10,4,NA
ev,plight,light,10,5,NA
ev,plight,light,10,6,NA
ev,pdark,dark,10,6,NA
ev,pdark,light,10,6,NA
raga,pdark,dark,10,6,NA
raga,pdark,light,10,6,NA
ev,plight,dark,10,4,NA
ev,plight,dark,10,5,NA
ev,plight,dark,10,6,NA
ev,plight,light,10,6,NA
raga,plight,dark,10,6,NA
raga,plight,light,10,6,NA
raga,pdark,dark,10,2,154
raga,plight,dark,10,3,133
ev,pdark,dark,10,2,127
ev,pdark,dark,10,3,126
raga,plight,dark,10,2,117
raga,pdark,light,10,2,110
raga,pdark,dark,10,3,110
raga,plight,dark,10,2,104
ev,plight,dark,10,2,96
raga,plight,light,10,2,91
raga,pdark,light,10,4,89
raga,plight,light,10,3,88
raga,pdark,dark,10,2,88
ev,plight,dark,10,3,86
raga,plight,light,10,3,84
ev,plight,light,10,2,82
raga,plight,light,10,2,80
ev,pdark,light,10,2,79
raga,pdark,light,10,3,74
raga,plight,dark,10,3,74
ev,pdark,light,10,3,65
raga,pdark,dark,10,3,59
ev,plight,light,10,3,57
raga,pdark,light,10,3,52
ev,pdark,dark,10,2,52
ev,pdark,light,10,3,51
ev,pdark,dark,10,3,50
ev,pdark,light,10,2,39
raga,pdark,dark,10,1,19
ev,pdark,light,10,4,15
raga,plight,dark,10,5,14
raga,pdark,light,10,5,12
raga,pdark,light,10,2,11
ev,plight,light,10,1,10
raga,pdark,light,10,1,10
ev,plight,light,9,1,NA
ev,plight,light,9,2,NA
ev,plight,light,9,3,NA
ev,plight,light,9,4,NA
ev,plight,light,9,5,NA
ev,plight,light,9,6,NA
raga,plight,light,9,1,NA
raga,plight,light,9,2,NA
raga,plight,light,9,3,NA
raga,plight,light,9,4,NA
raga,plight,light,9,5,NA
raga,plight,light,9,6,NA
ev,pdark,dark,9,4,NA
ev,pdark,dark,9,5,NA
ev,pdark,dark,9,6,NA
ev,pdark,dark,9,6,NA
ev,pdark,light,9,6,NA
raga,pdark,dark,9,6,NA
raga,pdark,light,9,6,NA
raga,plight,dark,9,4,NA
raga,plight,dark,9,5,NA
ev,plight,dark,9,6,NA
ev,plight,light,9,6,NA
raga,plight,dark,9,6,NA
raga,plight,light,9,6,NA
raga,pdark,dark,9,2,177
ev,plight,dark,9,2,168
ev,pdark,dark,9,2,160
ev,plight,dark,9,3,135
ev,pdark,dark,9,2,134
raga,pdark,dark,9,3,134
raga,plight,dark,9,2,127
ev,plight,dark,9,2,118
ev,pdark,light,9,2,111
ev,pdark,light,9,3,109
raga,plight,light,9,3,101
raga,pdark,light,9,2,99
ev,plight,light,9,3,98
ev,plight,light,9,2,94
raga,pdark,light,9,3,90
raga,pdark,light,9,3,87
raga,plight,dark,9,3,83
raga,plight,light,9,2,81
ev,pdark,light,9,3,58
raga,pdark,light,9,2,49
raga,pdark,dark,9,2,48
ev,pdark,light,9,4,46
raga,plight,dark,9,3,43
raga,pdark,dark,9,3,39
raga,plight,dark,9,2,34
raga,pdark,dark,9,1,32
raga,plight,dark,9,1,28
